Profile_Id,Profile_Name,Profile_Link,Designation,Interested_In,No_Of_Citations
403,Kulbir Birak,https://scholar.google.co.uk/citations?hl=en&user=nAVHfbUAAAAJ,Coventry University,Bio-Psychology Psychopharmacology Healthy Ageing Virtual Reality Experimental Psychology ,110
404,Georgina Wernham,https://scholar.google.co.uk/citations?hl=en&user=1KVLQSsAAAAJ,Coventry University,Energy literacy water literacy environmental education environmental behaviours ,109
405,Ivan Zajic,https://scholar.google.co.uk/citations?hl=en&user=6dB6PREAAAAJ,Coventry University,HVAC ,109
406,Faouzi Bouali,https://scholar.google.co.uk/citations?hl=en&user=4gTRcl4AAAAJ,Assistant Professor in Connected and Autonomous Vehicles at Coventry University,Wireless communication and networking 5G/B5G/6G/V2X Advanced radio resource management Spectrum sharing Innovative network a ,109
407,Gill Cressey,https://scholar.google.co.uk/citations?hl=en&user=hlu3_oAAAAAJ,"Social Sciences, Coventry University, UK",Migration Youth Education Community Development ,109
408,Omid Razmkhah,https://scholar.google.co.uk/citations?hl=en&user=657vEGkAAAAJ,Coventry University,Biomedical Engineering Traumatology Composite structures ,109
409,Faye Mitchell,https://scholar.google.co.uk/citations?hl=en&user=lV0PdpoAAAAJ,Coventry University,AI ML Cyber Security IT Management ,109
410,Golnaz Taghavi Pourian Azar,https://scholar.google.co.uk/citations?hl=en&user=uLUORPcAAAAJ,Research Fellow at Coventry University,,106
411,Amber Martin-Woodhead,https://scholar.google.co.uk/citations?hl=en&user=UY9zLBwAAAAJ,Coventry University,Human Geography Consumption Fashion Minimalism Gender. ,106
412,Craig Blyth,https://scholar.google.co.uk/citations?hl=en&user=qC1UR9sAAAAJ,"Associate Head of School, Coventry University",Disability Studies Disability and Sexuality Disability and the Body Participatory Research Methods. ,105
413,Dr Abdulrahman Al-Surmi,https://scholar.google.co.uk/citations?hl=en&user=AWov2zEAAAAJ,Coventry University,Business Analytics Strategic Management ,104
414,Costantino Grasso,https://scholar.google.co.uk/citations?hl=en&user=dOAYjXgAAAAJ,"Assistant Professor in Law, Coventry University",Financial Crime Corporate Governance Corporate Social Responsibility Business Ethics ,103
415,Adriana Matei,https://scholar.google.co.uk/citations?hl=en&user=Lx0x8EgAAAAJ,Coventry University,Semantic Web OLAP Ontology Big Data Internet of Things ,103
416,Mohamed Abdelshafy,https://scholar.google.co.uk/citations?hl=en&user=8XoyCGIAAAAJ,"Senior Lecturer, Coventry University",Network Security Wireless Networks IoT ,103
417,Andrew Morris BSc (Hons) MRes RD,https://scholar.google.co.uk/citations?hl=en&user=D5hwqU0AAAAJ,Coventry University,Nutritional Biochemistry Nutrition and Dietetics Food Environments Micronutrients ,100
418,neil forbes,https://scholar.google.co.uk/citations?hl=en&user=C3mH_YgAAAAJ,"Professor of International History, Coventry University",twentieth century international business … ,98
419,Nirooja Thurairajah,https://scholar.google.co.uk/citations?hl=en&user=CKw3xxgAAAAJ,"Lecturer in Quantity Surveying, Coventry University",Disaster reconstruction ,96
420,Barbara May,https://scholar.google.co.uk/citations?hl=en&user=hiYKgccAAAAJ,"Assistant Professor, Coventry University",Biomechanics ,95
421,Rona Epstein,https://scholar.google.co.uk/citations?hl=en&user=W6hmvhMAAAAJ,"Research Fellow, Coventry University, UK",law ,95
422,michaelina jakala,https://scholar.google.co.uk/citations?hl=en&user=waoMWGgAAAAJ,"Centre for Trust, Peace and Social Relations Coventry University",,94
423,Angela Hilmi,https://scholar.google.co.uk/citations?hl=en&user=nVUiuPoAAAAJ,"Senior Research Fellow, Centre for Agroecology, Water and Resilience, Coventry University …",Agroecology rural development transitions agriculture food ,94
424,Rabia Charef,https://scholar.google.co.uk/citations?hl=en&user=1WVZcr4AAAAJ,Research Fellow - Coventry University,BIM - Circular Economy - Artificial Intelligence … ,93
425,Tom Rogers,https://scholar.google.co.uk/citations?hl=en&user=vOlBEd8AAAAJ,Coventry University,Clean energy systems wind resource analysis innovation systems ,91
426,Bianca Wright,https://scholar.google.co.uk/citations?hl=en&user=dvF3qoIAAAAJ,"Senior Lecturer: Digital Journalism, Coventry University",media studies game studies gamification journalism communication ,89
427,Soroush Faramehr,https://scholar.google.co.uk/citations?hl=en&user=DhLBUpIAAAAJ,Coventry University,Power Electronics ,89
428,Joan Lockyer,https://scholar.google.co.uk/citations?hl=en&user=cHWbjZAAAAAJ,Coventry University,Entrepreneurship ,89
429,Dr. Diana Hintea,https://scholar.google.co.uk/citations?hl=en&user=I7VtI_oAAAAJ,"Associate Head of School Global Engagement, Coventry University",Machine Learning Thermal Comfort HVAC Control Artificial Intelligence Digital Forensics ,87
430,Andrew Tomlinson,https://scholar.google.co.uk/citations?hl=en&user=Omnm5YUAAAAJ,Coventry University,automotive cyber security anomaly detection medical research ,86
431,Emma J Waight,https://scholar.google.co.uk/citations?hl=en&user=jqxHUUcAAAAJ,Coventry University,posthumanism consumption materiality cultural geographies doctoral student experience ,86
432,Luisa Tarczynski-Bowles,https://scholar.google.co.uk/citations?hl=en&user=3IjAsj8AAAAJ,"Research Associate, Coventry University",Early Literacy Development Interventions Developmental Psychology ,85
433,Melissa Avdeeff,https://scholar.google.co.uk/citations?hl=en&user=SvMV9kUAAAAJ,Coventry University,Musicology Popular Music Media and Cultural Studies Technology and Society ,83
434,Norlaily Yaacob,https://scholar.google.co.uk/citations?hl=en&user=uET5OFMAAAAJ,"Senior Lecturer in Computer Science, Coventry University",Grid Computing Cloud Computing Real-Time Systems Concurrent Programming ,83
435,Caroline Lambert,https://scholar.google.co.uk/citations?hl=en&user=VDgLgMsAAAAJ,"Principal Lecturer, Coventry University and University of Bath",unsteady aerodynamics engineering education innovation ,82
436,Joe Fleming,https://scholar.google.co.uk/citations?hl=en&user=kqJL2CIAAAAJ,Coventry University,Energy storage sensors and instrumentation ,82
437,Chris Shannahan,https://scholar.google.co.uk/citations?hl=en&user=n9JmDwUAAAAJ,"Associate Professor in Political Theology, Centre for Trust, Peace and Social Relations …",Urban Theology Religion and the City Religion and Popular Culture Socially Excluded Urban Youth Faith and Politics ,80
438,Iain MacKinnon,https://scholar.google.co.uk/citations?hl=en&user=35692XgAAAAJ,"Research Fellow - Governance of Land and Natural Resources, Coventry University",indigenous studies imperialism decolonisation human ecology ,79
439,Charis Rice,https://scholar.google.co.uk/citations?hl=en&user=FgeZmcEAAAAJ,"Research Associate, CTPSR, Coventry University",Government communication political public relations post-conflict democracy trust power ,78
440,Andrews Owusu,https://scholar.google.co.uk/citations?hl=en&user=Q4_u5l8AAAAJ,Coventry University,Accounting Governance Accountability ,77
441,Nina I Moeller,https://scholar.google.co.uk/citations?hl=en&user=RuZwPWkAAAAJ,"Centre for Agroecology, Water and Resilience - Coventry University",political ecology ethnography Amazon green economy transition ,77
442,phil thompson,https://scholar.google.co.uk/citations?hl=en&user=L2kxApUAAAAJ,coventry university,peer to peer computing intelligent agents virtual meetings ,76
443,Dr. Othman Maganga,https://scholar.google.co.uk/citations?hl=en&user=2BsB4uQAAAAJ,"Lecturer in Control Engineering, Coventry University",Control Theory and Its Applications Power converter modeling and design Model order reduction techniques System identificatio ,75
444,Sascha Wald,https://scholar.google.co.uk/citations?hl=en&user=yyjlIN0AAAAJ,Coventry University,quantum dynamics many-body systems critical phenomena integrable systems ,75
445,James Hart,https://scholar.google.co.uk/citations?hl=en&user=DsAjOMoAAAAJ,"Lecturer in Civil Water and Environmental Engineering, Coventry University",,75
446,Muhammad Shamir,https://scholar.google.co.uk/citations?hl=en&user=pbqCXX8AAAAJ,Coventry University,Welding Additive manufacturing Fatigue Fracture mechanics Materials characterization ,74
447,Eoin Coakley,https://scholar.google.co.uk/citations?hl=en&user=9MD9Q94AAAAJ,Coventry University,Structural repairs to reinforced concrete Self-compacting concrete high volume fly ash concrete ,73
448,Manuel Silverio-Fernandez,https://scholar.google.co.uk/citations?hl=en&user=JAXjgwsAAAAJ,"Researcher, Coventry University",Internet of Things Smart cities Autonomous Vehicles Smart devices Transportation ,73
449,Navneesh Phillip,https://scholar.google.co.uk/citations?hl=en&user=DZGTLjUAAAAJ,"Research Assistant, Coventry University",Control Engineering Automotive Engineering Low Carbon Prognostics Diagnostics ,72
450,Raja Mazuir Bin Raja Ahsan Shah,https://scholar.google.co.uk/citations?hl=en&user=bYu2BCsAAAAJ,Coventry University,Advanced Propulsion System Energy Management Thermal Management Real Time System Modelling Powertrain Dynamics and Control ,71
451,Samuel Perkins,https://scholar.google.co.uk/citations?hl=en&user=CbAYRyEAAAAJ,Coventry University,SiC IGBTs GaN HEMTs Wide Bandgap Semiconductors. ,71
452,Maria K. Triantafyllou,https://scholar.google.co.uk/citations?hl=en&user=P-N_AysAAAAJ,Coventry University,Green logistics waste logistics urban transport reverse logistics supply chain management ,69
453,Helen M Jones,https://scholar.google.co.uk/citations?hl=en&user=Lf3eN3QAAAAJ,Coventry University,Obesity Nutrition Public Health Qualitative Mixed Methods ,69
454,Tim Turner,https://scholar.google.co.uk/citations?hl=en&user=VUdGS_oAAAAJ,"Assistant Professor in Criminology, Coventry University",Festivals drug use Ibiza Disneyization mental health ,69
455,Lynne Potter,https://scholar.google.co.uk/citations?hl=en&user=wpBKFFoAAAAJ,Coventry University,,66
456,Eyo Eyo Umo,https://scholar.google.co.uk/citations?hl=en&user=Ry2pz38AAAAJ,"PhD, Coventry University",Civil Engineering Geotechnical Engineering ,66
457,Anthony May,https://scholar.google.co.uk/citations?hl=en&user=OVGvs8gAAAAJ,"Assistant Professor in Sport Management, Coventry University",Nationalism Politics Football Scotland Northern Ireland ,65
458,Rose Narooz,https://scholar.google.co.uk/citations?hl=en&user=mUBygWEAAAAJ,center for trust peace and social relations Coventry university,International Entrepreneurship social entrepreneurship networks  and international business ,64
459,Lorenzo Pasculli,https://scholar.google.co.uk/citations?hl=en&user=DbRQjWsAAAAJ,Associate Head of Coventry Law School for Research - Associate of the Centre for Financial …,Global crimes globalisation corruption crime prevention science and technology ,63
460,Yung-Fang Chen,https://scholar.google.co.uk/citations?hl=en&user=XNG5a6MAAAAJ,Coventry University,disaster risk reduction emergency response training exercising community resilience internationalisation ,62
461,Laura Joanne Wilde (nee Parry),https://scholar.google.co.uk/citations?hl=en&user=rCpnW7wAAAAJ,Coventry University,Health Technology Behaviour Change ,62
462,Mukesh Pandey,https://scholar.google.co.uk/citations?hl=en&user=41aS6N8AAAAJ,Assistant Professor in Aviation Management Coventry University,Airport Strategic Planning Fuzzy MCDM Service Quality Quantitative Finance Resource Optimization ,62
463,"Irene, BNO",https://scholar.google.co.uk/citations?hl=en&user=ldwoVL0AAAAJ,"International Centre for Transformational Entrepreneurship (ICTE), Coventry University",Entrepreneurship Women Entrepreneurship Business Strategy Small Business Research ,61
464,Yasin Duman,https://scholar.google.co.uk/citations?hl=en&user=5EZsuaEAAAAJ,Coventry University,migration and forced displacement integration Kurdish politics and autonomy intergroup relations peace and conflict ,61
465,Maxine E Whelan,https://scholar.google.co.uk/citations?hl=en&user=XqNiVAkAAAAJ,"Centre for Intelligent Healthcare, Coventry University",digital health physical activity long-term health conditions ,61
466,Benet Vincent,https://scholar.google.co.uk/citations?hl=en&user=ycYhcj0AAAAJ,Coventry University,Corpus Linguistics English for Academic Purposes Pattern Grammar Modality Corpus Stylistics ,60
467,Mohamed Marei,https://scholar.google.co.uk/citations?hl=en&user=9ASww1YAAAAJ,"PhD Researcher, Coventry University",Industrial automation advanced manufacturing engineering ,60
468,Sara Burbi,https://scholar.google.co.uk/citations?hl=en&user=LACWgxkAAAAJ,Coventry University,Livestock Sustainability Climate Change Environmental Assessment ,59
